등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,전화번호,홈페이지,위도,경도,평점,1인용 객실 여부,1인용 객실 가격,2인용 객실 여부,2인용 객실 가격,3인용 객실 가격,3인용 객실 여부,4인용 객실 가격,4인용 객실 여부,냉장고,TV,난방,에어컨,욕조,테라스,커피/티 메이커,인터넷,세탁기,다람질 서비스,전용 수영장,반려동물 동반 있음,주방,주차장,체육관/피트니스,24시간 데스크,금연객실,스파/사우나,레스토랑,흡연 구역,더블베드,퀸베드,싱글베드
한국관광협회중앙회,관광호텔업,3성,2023-04-05,서울특별시,더 리센츠 동대문 호텔,207,서울특별시 동대문구 천호대로 383  (장안동),02-3390-7000,http://www.therecenzhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-31,서울특별시,에이큐브 호텔 동대문,43,서울특별시 중구 동호로35길 5 석광빌딩 (을지로5가),02-2264-2888,http://www.acubehotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-31,서울특별시,라까사 호텔,88,서울특별시 강남구 도산대로1길 83  (신사동),02-6711-9310,https://www.hotellacasa.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-03-31,부산광역시,레이어스 호텔 하단,350,부산광역시 사하구 낙동남로 1395  (하단동),051-999-1700,http://www.layers-hotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-31,서울특별시,사보이 호텔,105,서울특별시 중구 명동8나길 10  (충무로1가),02-772-7700,http://www.savoyhotel.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,3성,2023-03-31,경상북도,안동 씨엠파크 호텔,62,경상북도 안동시 풍천면 검무로 10-17  ,054-853-7800,http://www.cmparkhotel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2023-03-31,서울특별시,콘래드 서울 호텔,434,서울특별시 영등포구 국제금융로 10  (여의도동),02-6137-7000,http://www.conradseoul.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-03-30,강원도,호텔 인터불고 원주,146,강원도 원주시 동부순환로 200  (반곡동),033-769-8114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-03-30,인천광역시,베스트웨스턴 프리미어 인천 에어포트 호텔,305,인천광역시 중구 공항로424번길 48-27  (운서동),032-743-1000,http://www.airporthotel.co.kr,37.4383983,126.4553689,4.2,있음,214000.0,있음,261800.0,있음,315000.0,없음,,있음,있음,있음,있음,있음,있음,있음,있음,있음,없음,없음,없음,없음,있음,있음,있음,있음,없음,있음,있음,없음,없음,있음
한국관광협회중앙회,관광호텔업,3성,2023-03-30,서울특별시,호텔국도,295,서울특별시 중구 을지로 164  (을지로4가),02-6466-1234,http://www.hotelkukdo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-30,서울특별시,호텔 디 아티스트,50,서울특별시 강남구 테헤란로29길 11  (역삼동),02-569-4920,https://theartisthotel.modoo.at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,5성,2023-03-30,부산광역시,농심 호텔,240,부산광역시 동래구 금강공원로20번길 23  (온천동),051-550-2100,https://www.hotelnongshim.com/kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-27,서울특별시,영등포 샤또호텔,34,서울특별시 영등포구 선유로 100  (양평동1가),02-2675-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,2성,2023-03-27,인천광역시,토요코인 인천부평점,510,인천광역시 부평구 광장로 10  (부평동),032-527-1045,https://www.toyoko-inn.com/korea/,37.4909704,126.719319,4.5,있음,75000.0,있음,93000.0,없음,,없음,,있음,있음,있음,있음,있음,없음,있음,있음,없음,없음,없음,없음,없음,있음,없음,있음,있음,없음,있음,있음,있음,있음,있음
한국관광협회중앙회,관광호텔업,2성,2023-03-27,전라남도,프린스행복호텔,58,전라남도 강진군 강진읍 보은로 113-1 프린스행복호텔 ,061-433-7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한국관광협회중앙회,관광호텔업,4성,2023-03-23,서울특별시,나인트리 프리미어호텔 명동 2,408,서울특별시 중구 마른내로 28 (초동),02-6967-0999,http://www.ninetreehotel.com/ntm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
